housing_type;district;rooms;is_studio;total_area;living_area;kitchen_area;floor;num_floors;bathrooms_type;num_loggia;num_balcony;kitchen_and_living;condition;ceiling_height;nearest_metro_st;minutes_to_metro;num_freight_lift;num_passenger_lift;parking_type;building_type;furniture;price;deal_type;house_completion_year;first_floor_is_com;playground
Вторичка;Сормовский;3;Нет;54,67346937;35,45275892;19,01968993;10,00931864;10,38528135;Совмещенный;1;0;Нет;Дизайнерский;2.6 ;Нет;;0,971160142;1,024624841;Открытая;Кирпичный;Да;9 828 128;Свободная продажа;1948,021218;Нет;Да
Вторичка;Сормовский;3;Нет;43,18011024;29,49388305;5,993081;2,010740121;4,784378461;Совмещенный;0;0;Нет;Требует ремонта;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;3 778 087;Свободная продажа;1869,310224;Нет;Да
Новостройка;Приокский;1;Да;30,11995415;17,81412665;4,299736489;2,005212029;4,01625617;Совмещенный;0;0;Да;Предчистовая;2.7 ;Нет;;1,00956801;1,016832722;Открытая;Монолитный;Нет;3 786 340;Долевое участие (214-ФЗ);1941,347962;Да;Да
Новостройка;Автозаводский;3;Нет;68,67982356;30,95828425;10,07150998;5,964142362;24,64167728;Совмещенный;1;0;Да;Без отделки;2.7 ;Парк культуры;21;1,009426449;0,956153716;Открытая;Монолитный;Нет;9 364 760;Долевое участие (214-ФЗ);2113,595202;Да;Да
Новостройка;Нижегородский;1;Да;27,250745;12,45848593;6,894322183;20,99904879;32,42292997;Совмещенный;0;0;Да;Без отделки;2.6;Нет;;1,025118614;0,968718342;Подземная;Монолитный;Нет;9 217 185;Долевое участие (214-ФЗ);2001,533642;Да;Да
Новостройка;Нижегородский;3;Нет;92,06538966;52,82158414;11,37766695;2,06814184;12,32338625;Раздельный;1;0;Да;Без отделки;2.7 ;Горьковская;1;0,958342457;1,010455978;Подземная, открытая;Монолитно-кирпичный;Нет;18 394 220;Свободная продажа;2068,601556;Да;Да
Новостройка;Московский;1;Нет;47,96746987;13,87565867;16,79685384;7,737664798;11,12504042;Совмещенный;0;0;Да;Предчистовая;2.7 ;Московская;11;0,973526208;1,020959238;Открытая;Монолитно-кирпичный;Нет;9 928 079;Долевое участие (214-ФЗ);2022,196927;Да;Да
Вторичка;Советский;1;Нет;21,79702041;11,97279695;4,992507118;4,113992105;5,001160682;Совмещенный;0;1;Нет;Дизайнерский;2.5 ;Нет;;0;0;Открытая;Кирпичный;Да;4 498 066;Свободная продажа;2058,574883;Нет;Нет
Вторичка;Московский;1;Нет;29,34528018;20,6054204;4,943191163;2,948136239;6,048883201;Совмещенный;0;1;Нет;Косметический;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;3 755 061;Свободная продажа;1887,141108;Нет;Да
Вторичка;Советский;1;Нет;41,63702004;18,88793574;12,06610833;16,53930323;26,21458963;Совмещенный;0;0;Нет;Косметический;2.6;Нет;;2,043330311;0,989832504;Открытая;Панельный;Да;8 703 824;Альтернативная;2025,674377;Нет;Да
Вторичка;Советский;3;Нет;60,03268149;39,77988934;5,915123002;4,170734673;4,99115881;Раздельный;0;1;Нет;Косметический;2.5 ;Нет;;0;0;Открытая;Кирпичный;Да;8 219 933;Свободная продажа;1963,417135;Нет;Да
Вторичка;Приокский;2;Нет;39,46020903;29,99484788;5,771675048;2,033862625;4,77304752;Раздельный;0;0;Нет;Евро;2.6;Нет;;0;0,995504434;Открытая;Кирпичный;Да;6 296 139;Свободная продажа;1890,219264;Нет;Нет
Вторичка;Автозаводский;1;Нет;31,83970446;18,72497198;5,634846014;2,854789786;4,811725403;Совмещенный;0;1;Нет;Косметический;2.6;Парк культуры;13;0;0;Открытая;Панельный;Нет;4 720 526;Альтернативная;1873,037814;Нет;Нет
Вторичка;Канавинский ;3;Нет;66,99548503;38,6682344;8,945055326;6,275758782;8,70310128;Раздельный;0;1;Нет;Евро;2.6;Стрелка;20;0;0,989307733;Открытая;Панельный;Нет;10 573 367;Альтернативная;2061,863507;Нет;Нет
Вторичка;Автозаводский;2;Нет;38,13667766;29,86009717;4,912612925;2,080663498;1,983567021;Совмещенный;0;0;Нет;Косметический;2.7 ;Нет;;0;0;Открытая;Блочный;Да;3 765 334;Альтернативная;1903,802267;Нет;Нет
Вторичка;Автозаводский;2;Нет;43,68864816;42,10229039;5,447728874;0,974261108;5,167809459;Совмещенный;0;0;Нет;Косметический;2.5 ;Парк культуры;20;0;0;Открытая;Панельный;Да;4 534 061;Альтернативная;2063,108053;Нет;Да
Вторичка;Нижегородский;3;Нет;57,17004742;39,87382626;6,96445663;2,900633422;5,209941714;Совмещенный;0;1;Нет;Косметический;2.8 ;Нет;;0;0;Открытая;Кирпичный;Да;6 608 897;Свободная продажа;1950,040709;Нет;Да
Вторичка;Московский;2;Нет;44,02997335;31,07482125;5,420432697;3,90502572;6,159839745;Раздельный;0;1;Нет;Косметический;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;4 664 364;Свободная продажа;2011,540848;Нет;Да
Вторичка;Нижегородский;2;Нет;49,65542352;29,39056881;7,749415639;2,909472566;9,899999111;Совмещенный;1;0;Нет;Дизайнерский;2.6 ;Нет;;0;1,010984238;Открытая;Кирпичный;Да;12 933 749;Свободная продажа;1895,286677;Нет;Нет
Новостройка;Приокский;1;Нет;41,04897319;21,09057273;9,890276289;3,102146313;4,074749005;Совмещенный;0;0;Да;Предчистовая;2.7 ;Нет;;0,978292003;0,956254185;Открытая;Монолитный;Нет;5 218 124;Долевое участие (214-ФЗ);1955,238911;Да;Да
Новостройка;Сормовский;2;Нет;61,91316587;29,2599695;14,55505492;2,061735627;18,49037867;Раздельный;0;0;Да;Без отделки;2.7 ;Нет;;0,958064583;1,019171194;Подземная, открытая;Монолитный;Нет;8 314 484;Долевое участие (214-ФЗ);2099,682926;Да;Да
Вторичка;Советский;1;Нет;27,25891765;17,15627166;5,043946096;4,821779105;5,151294994;Совмещенный;0;0;Нет;Косметический;2.5 ;Нет;;0;0;Открытая;Кирпичный;Да;4 605 574;Альтернативная;1901,897765;Нет;Да
